date,winner,t1,t2,t1_rating,t2_rating,t1_opening_duels,t2_opening_duels,t1_clutches,t2_clutches,t1_eco,t1_eco_won,t1_semi_eco,t1_semi_eco_won,t1_semi_buy,t1_semi_buy_won,t1_full_buy,t1_full_buy_won,t2_eco,t2_eco_won,t2_semi_eco,t2_semi_eco_won,t2_semi_buy,t2_semi_buy_won,t2_full_buy,t2_full_buy_won,maps_played
2022-11-13,outsiders,outsiders,heroic,1.25,0.85,26,23,4,0,1,0,3,1,5,4,36,26,5,0,5,0,9,2,26,12,2
2022-11-12,heroic,heroic,furia,1.05,1.0,44,35,6,3,1,0,7,0,13,7,46,25,4,0,4,0,12,5,47,30,3
2022-11-12,outsiders,outsiders,mouz,1.17,0.85,47,31,6,3,3,0,2,0,14,8,54,36,4,0,6,0,13,4,50,25,3
2022-11-11,furia,furia,natus vincere,1.13,0.98,40,41,6,6,4,0,3,0,13,5,56,37,6,0,8,3,9,5,53,26,3
2022-11-11,heroic,spirit,heroic,0.99,1.1,26,28,4,7,4,0,2,2,5,2,39,28,2,0,6,0,7,3,35,15,2
2022-11-10,mouz,mouz,cloud9,1.08,1.0,42,38,3,3,3,0,4,0,10,5,58,35,4,0,6,1,14,4,51,30,3
2022-11-10,outsiders,outsiders,fnatic,1.19,0.88,26,25,5,1,2,1,2,0,5,3,38,26,3,0,6,0,4,1,34,16,2
2022-11-08,spirit,liquid,spirit,1.01,1.04,37,46,4,2,7,0,4,1,10,5,56,34,5,0,4,0,10,7,58,30,3
2022-11-08,natus vincere,big,natus vincere,0.89,1.12,24,31,1,1,5,0,1,0,4,1,41,28,2,0,7,0,3,2,39,20,2
2022-11-08,mouz,mouz,ence,1.14,0.93,37,33,4,5,2,0,5,0,7,2,50,34,5,0,2,0,13,5,44,23,3
2022-11-07,heroic,heroic,liquid,1.08,0.95,34,38,2,0,2,0,5,0,13,6,46,28,6,0,3,0,10,4,47,28,3
2022-11-07,spirit,spirit,sprout,1.32,0.82,31,18,5,5,1,0,3,1,3,0,38,27,3,0,6,1,6,2,30,14,2
2022-11-07,ence,ence,vitality,1.14,0.92,39,23,4,1,3,0,2,2,8,5,41,21,2,0,6,0,7,5,39,21,2
2022-11-07,fnatic,big,fnatic,0.88,1.26,21,32,4,4,4,0,2,1,6,4,37,25,6,0,4,0,10,5,29,14,2
2022-11-07,outsiders,mouz,outsiders,0.76,1.24,21,31,1,1,0,0,3,0,5,3,40,26,5,0,3,0,4,1,36,18,2
2022-11-07,natus vincere,natus vincere,bad news eagles,1.45,0.63,28,16,1,6,1,0,0,0,1,1,38,28,3,0,8,1,9,1,20,9,2
2022-11-06,sprout,sprout,ninjas in pyjamas,1.11,0.97,32,25,4,5,3,0,4,1,7,3,39,24,3,0,5,0,7,3,38,22,2
2022-11-06,furia,furia,big,1.29,0.77,26,21,1,2,1,0,1,1,5,3,36,25,4,0,4,1,6,1,29,12,2
2022-11-06,bad news eagles,faze,bad news eagles,1.09,0.97,55,46,4,6,4,0,9,1,14,6,51,29,3,0,7,0,5,3,63,39,3
2022-11-06,cloud9,heroic,cloud9,0.82,1.34,19,31,5,7,1,0,2,0,4,3,39,26,5,1,3,1,8,2,30,13,2
